"5,025","146,653",－,"151,678"
－,"54,232",－,"54,232"
(524),"(50,487)",－,"(51,011)"
－,(350),－,(350)
－,"1,161",－,"1,161"
,,,
"4,501","151,209",－,"155,710"
,,,
,,,
"5,733","846,541","127,460","979,734"
"(1,232)","(695,332)","(127,460)","(824,024)"
,,,
"4,501","151,209",－,"155,710"
,,,
