指标,单位,2023年,2022年,2021年
内控管理培训次数,次,112,118,105
内控管理培训人次,人次,"2,213","2,465","2,338"
风险管理培训次数,次,50,46,48
风险管理培训人次,人次,"1,852","1,762","1,810"
