"44,042,241"
"309,718"
"(5,195,328)"
"(415,317)"
"(8,201,983)"
"(601,614)"
"(10,101,768)"
"(11,420,862)"
"(2,147,453)"
"(1,355,818)"
–
"(56,579)"
"(39,496,722)"
"4,855,237"
"(37,143)"
"(996,796)"
"181,132"
"14,953"
"71,135"
"178,309"
"(23,959)"
"4,242,868"
"(960,240)"
"3,282,628"
""
