,,
432,"1,126","1,558"
,,
,,
324,833,"1,157"
348,688,"1,036"
,,
672,"1,521","2,193"
,,
,,
–,–,–
–,–,–
,,
,,
–,–,–
263,650,913
,,
263,650,913
,,
"1,367","3,297","4,664"
,,
