,,
"10,437","2,967,063","2,977,500"
－,－,–
"37,786","37,610","75,396"
"(9,040)","(10,460)","(19,500)"
"(1,388)","(70,670)","(72,058)"
505,"49,303","49,808"
,,
"38,300","2,972,846","3,011,146"
,,
