編號,範圍3類別,是否適用,方法／排除理由,計算方法,排放系數數據來源
1a.,"外購商品及
服務（產
品）",是,"此類別包括恒隆集團所購買
或收購的建築物料所產生的
排放（發展項目的隱含碳排
放）。相關計算按生命週期
（LCA）模型分析進行。","物料排放量 = 已採購
數量 × 已採購物料的
排放系數","• Ecoinvent 3.10
• 《建築碳排放計算標準》
（GB/T 51366-2019）
• 中國產品全生命週期溫室氣體
排放系數集（2022）
• ICE (Circular ecology, 2019)"
1b.,"外購商品及
服務（非產
品）",是,"排放涵蓋恒隆集團所購買或
收購的產品及服務的提取、
生產和運輸，而有關產品及
服務(產品) 無直接關係（隱
含碳排放除外）。","財務開支 × USEEIO排
放因子","US Environmentally-Extended
Input-Output (USEEIO) 模型"
2,資本商品,是,"排放主要來自資本商品開
支，包括恒隆集團所購買或
收購高價值商品的提取、生
產和運輸開支。","財務開支 × USEEIO排
放因子","US Environmentally-Extended
Input-Output (USEEIO) 模型"
3,"燃料及能源
相關活動",是,"此類別包括恒隆集團所購買
或收購的燃料及能源的提
取、生產和運輸（未計入範
圍1或範圍2）。","燃料／能源用量 × 上
游排放系數","• 英國商業、能源和產業策略
部，《英國政府指導企業報
告的溫室氣體換算因子2023
版》（UK Government GHG
Conversion Factors for
Company Reporting）
• 國際能源署，《排放因子
2023版》"
4,"上游運輸及
配送",是,"此類別包括與建築產品及
物料相關的運輸及配送排
放量。","已採購物料重量 × 運
輸距離 × 運輸類別的
排放系數","• 《建築碳排放計算標準》
（GB/T 51366-2019）
• 英國商業、能源和產業策略
部，《英國政府指導企業報告
的溫室氣體換算因子 2023
版》（UK Government GHG
Conversion Factors for
Company Reporting）"
