代號,活動指標,章節 ╱解釋
IF-RE-000.A,按物業類型劃分的資產數目,關於恒隆集團
IF-RE-000.B,按物業類型劃分的可出租樓面面積,無
IF-RE-000.C,按物業類型劃分的間接管理資產的百分比,無
IF-RE-000.D,地產界別分組，平均出租率,"我們主要物業的出租率，可詳見 2023 年年報（第38至 47
頁，第 52至57頁）。"
