""
"4,242,868"
""
"969,394"
"(181,132)"
"(14,953)"
"(71,135)"
"(178,309)"
"37,143"
"37,260"
"(13,301)"
"5,195,328"
"415,317"
"56,579"
"10,050"
－
""
"10,505,109"
""
"178,756"
"29,241"
(315)
"(93,181)"
"67,715"
"(343,750)"
"(5,729)"
"(405,498)"
"2,438,797"
"(4,557)"
"(15,107)"
"(15,805)"
"1,268,112"
"(9,313)"
""
"13,594,475"
""
