""
"28,404,701"
"1,544,758"
"139,907"
"160,187"
－
"6,549,629"
"106,362"
"1,342,761"
"1,678,463"
－
""
"39,926,768"
""
""
"1,433,212"
"703,302"
"11,672,520"
"74,599"
"351,950"
"4,501,296"
"16,212"
"328,934"
"7,820"
"1,676,160"
"3,626,069"
""
"24,392,074"
""
""
"11,725,023"
"7,309"
"623,056"
"275,952"
"1,709,409"
"73,458"
"370,631"
"668,186"
"375,393"
""
"15,828,417"
""
"8,563,657"
""
"48,490,425"
""
