""
"8,194,841"
"21,736,778"
"3,411,480"
"1,939,479"
"35,282,578"
""
"18,888"
"441,282"
"83,249"
"81,589"
"625,008"
""
"50,710"
"307,278"
"7,269"
63
"365,320"
""
