,狀態
"2025年指標
竭力在所有新項目中盡量使用回收、再利用
和生物基材料",進行中
"2023年關鍵績效指標
探討至少兩種創新解決方案，以減少混凝
土、鋼材和幕牆中的隱含碳",已完成
