編號,範圍3類別,是否適用,方法／排除理由,計算方法,排放系數數據來源
8,"上游租賃資
產",是,"與經營集團所租賃的資產有
關的排放量。","電力用量 × 生命週期
排放系數","• 中華人民共和國生態環境部的
國家電網排放系數
• 英國商業、能源和產業策略
部，《英國政府指導企業報告
的溫室氣體換算因子 2023
版》（UK Government GHG
Conversion Factors for
Company Reporting）
• 國際能源署，《排放因子
2023 版》"
9,"下游運輸及
配送",否,"不包括此類別。恒隆集團的
營運模式不涉及向終端客戶
配送任何原材料或製成品。",,
10,"售出產品的
加工",否,"不包括此類別。恒隆集團不
會對售出的產品作進一步
加工。
第三方持有人對任何售出產
品進行的翻新活動均不計算
在內。",,
11,"售出產品的
使用",是,"此類別包括報告年內使用已
售出產品所產生的終身排
放量。
2023年，恒隆集團並無向
客戶出售產品。",,
12,"售出產品的
生命週期最
終處置",是,"此類別包括恒隆集團售出的
產品於報告年內就生命週期
終結階段進行廢物處置及處
理所產生的排放量。
2023年，恒隆集團並無向
客戶出售產品。",,
