"6,167.0","1,371.7
2,208.9
243.7
254.9","4,795.3",349.6%
"2,781.6",,572.7,25.9%
311.9,,68.2,28.0%
485.5,,230.6,90.5%
"9,746.0
9,746.0","4,079.2","5,666.8",138.9%
,,,
