編號,範圍3類別,是否適用,方法／排除理由,計算方法,排放系數數據來源
13,"下游租賃資
產",是,"由恒隆集團擁有並出租予其
他實體的資產營運。
此類別數據涵蓋租戶營運的
耗電量及能源用量。
在沒有取得租戶實際數據的
情況下，則可將租戶空間的
已出租總面積乘以當地適用
的能源用量基準，以計算出
相關排放量。","電力用量 × 生命週期
排放系數","內地方面採用中華人民共和國生
態環境部及上海市生態環境局的
國家電網排放系數
香港方面則採用本地公共事業公
司的排放系數和政府的特定能源
用量基準作為代表估算值
上游排放系數來自英國商業、能
源和產業策略部，《英國政府指
導企業報告的溫室氣體換算因子
2023 版》（UK Government
GHG Conversion Factors for
Company Reporting）以及國際
能源署，《排放因子 2023 版》"
14,特許經營權,否,不適用於恒隆集團的業務。,,
15,投資,是,"此類別包括恒隆集團於報
告年內的投資項目營運（包
括股本及債務投資和項目融
資）。","恒隆應佔被投資公司
的收入 × USEEIO排放
因子","US Environmentally-Extended
Input-Output (USEEIO) 模型"
