,狀態
"2025年指標
於2022年或以後發展的新項目，竭力把隱含
碳強度（公斤二氧化碳當量／平方米）較在
同等建築物一般採用的方法減少最少10%。",進行中
"2023年關鍵績效指標
探討至少兩種創新解決方案，以減少混凝
土、鋼材和幕牆中的隱含碳",已完成
