"3,122,911"
"14,339,226"
"7,309"
"1,040,432"
"5,127,941"
"12,323,520"
"1,047,188"
"15,440"
"(5,977,506)"
""
"31,046,461"
""
"41,643,019"
"613,087"
""
"42,256,106"
""
"73,302,567"
""
42%
""
