"2,9 67,640","20,205","59,446","1 33,422","3,1 80,713","3,1 22,911"
"2,478,945",－,"2,648,996",－,"5,127,941","5,127,941"
"374,043","6,719,857","3,266,453","1,984,437","12,344,790","12,323,520"
"363,311","295,236","350,015","130,762","1,139,324","1,047,188"
"13,752,763",－,－,－,"13,752,763","13,752,763"
"7,309",－,－,－,"7,309","7,309"
,,,,,
"19,9 44,011","7,0 35,298","6,3 24,910","2,2 48,621","35,5 52,840","35,3 81,632"
,,,,,
