香港,,,
淘大商場,家樂坊,恒通大廈,印刷行
碧海藍天,格蘭中心,荷李活商業中心,渣打銀行大廈
樂成行,雅蘭中心一期,康蘭居,大興花園
濱景園,雅蘭中心二期,康怡廣場,浪澄灣
都爹利街一號,恒福商業中心,康怡花園俱樂部,御峯
Fashion Walk,恒隆中心,山頂廣場,永康街 9 號
