"11,573","11,400
21,958
16,991
2,977
1,009",173,1.5%
"20,964",,(994),(4.5%)
"18,408",,"1,417",8.3%
"2,953",,(24),(0.8%)
"1,394",,385,38.2%
"55,292","54,335",957,1.8%
,,,
