年度,单位,年底供应商总数,境外,境内,主要城市分布,,,,
,,,,,天津,北京,广东,上海,其他
2023,个,"8,782","5,398","3,384",904,489,433,192,"1,366"
2022,个,"7,528","4,734","2,794",690,431,385,164,"1,124"
2021,个,"7,339","4,490","2,849",671,420,407,165,"1,186"
