"12 ,371,162","25 ,801,461","4 ,237,289","2 ,348,931","44 ,758,843"
"(1,170,920)","(183,310)",－,－,"(1,354,230)"
"(303,606)","(44,491)","(292,532)","(9,598)","(650,227)"
,,,,
"10 ,896,636","25 ,573,660","3 ,944,757","2 ,339,333","42 ,754,386"
,,,,
