"4,6 33,869","1 39,777","37,418","3 16,877",－,－,"5,1 27,941"
"3,684,704","(804,417)","52,809","183,214",－,"6,601","3,122,911"
"12,894,109","(1,150,214)","154,074","417,605",－,"7,946","12,323,520"
"1,006,786","(515,524)","7,507","43,752","504,667",－,"1,047,188"
"40,000","(953,455)",－,"989,955",－,－,"76,500"
,,,,,,
"22,259,468","(3,283,833 )","251,808","1,951,403","504,667","14,547","21,698,060"
,,,,,,
